anime_id,title,genre,aired,episodes,members,score
504,Fate/stay night: Unlimited Blade Works 2nd Season,"['Action', 'Fantasy', 'Magic', 'Supernatural']",2015,13,449182,8.37
505,Detective Conan Movie 06: The Phantom of Baker Street,"['Adventure', 'Mystery', 'Police', 'Shounen']",2002,1,47424,8.37
506,Shokugeki no Souma: Ni no Sara,"['Ecchi', 'School', 'Shounen']",2016,13,562262,8.38
507,One Outs,"['Sports', 'Psychological', 'Seinen']",2008,25,148281,8.38
508,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",2014,1,52139,8.38
509,Kemono no Souja Erin,"['Drama', 'Fantasy', 'Slice of Life']",2009,50,59510,8.38
510,Diamond no Ace: Second Season,"['Comedy', 'Sports', 'School', 'Shounen']",2015,51,78116,8.38
511,Shingeki no Kyojin: Kuinaki Sentaku,"['Action', 'Fantasy', 'Shoujo']",2014,2,222379,8.39
512,Sakamichi no Apollon,"['Drama', 'Josei', 'Music', 'Romance', 'School']",2012,12,235523,8.39
513,Perfect Blue,"['Dementia', 'Drama', 'Horror', 'Psychological']",1998,1,255885,8.39
514,Natsume Yuujinchou Movie: Utsusemi ni Musubu,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",2018,1,28166,8.39
515,Mahou Shoujo MadokaâMagica Movie 2: Eien no Monogatari,"['Drama', 'Magic', 'Psychological', 'Thriller']",2012,1,137799,8.39
516,Kino no Tabi: The Beautiful World,"['Action', 'Adventure', 'Psychological', 'Slice of Life']",2003,13,183465,8.39
517,Kingdom 2nd Season,"['Action', 'Military', 'Historical', 'Seinen']",2013,39,58726,8.39
518,Katanagatari,"['Action', 'Adventure', 'Historical', 'Martial Arts', 'Romance']",2010,12,355991,8.39
519,GintamaÂ°: Aizome Kaori-hen,"['Comedy', 'Parody']",2016,2,45836,8.39
520,Evangelion: 2.0 You Can (Not) Advance,"['Action', 'Sci-Fi', 'Mecha']",2009,1,287327,8.39
521,Steins;Gate: Oukoubakko no Poriomania,"['Sci-Fi', 'Comedy', 'Thriller']",2012,1,278681,8.4
522,Shirobako,"['Comedy', 'Drama']",2014,24,287186,8.4
523,Shelter,"['Sci-Fi', 'Music']",2016,1,213388,8.4
524,Ookami to Koushinryou II,"['Adventure', 'Historical', 'Romance', 'Fantasy']",2009,12,335750,8.4
525,Mo Dao Zu Shi 2,"['Action', 'Comedy', 'Historical', 'Mystery', 'Supernatural']",2019,8,26051,8.4
526,Grand Blue,"['Slice of Life', 'Comedy', 'Seinen']",2018,12,236595,8.4
527,Fate/Zero,"['Action', 'Supernatural', 'Magic', 'Fantasy']",2011,13,845166,8.4
528,Cowboy Bebop: Tengoku no Tobira,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",2001,1,223199,8.4
529,Youjo Senki Movie,"['Action', 'Magic', 'Military']",2019,1,90536,8.41
530,Mononoke,"['Mystery', 'Historical', 'Horror', 'Demons', 'Psychological', 'Supernatural', 'Fantasy', 'Seinen']",2007,12,162377,8.41
531,Psycho-Pass,"['Action', 'Police', 'Psychological', 'Sci-Fi']",2012,22,955173,8.41
532,Kuroko no Basket 2nd Season,"['Comedy', 'Sports', 'School', 'Shounen']",2013,25,450574,8.41
533,Bakemono no Ko,"['Adventure', 'Supernatural']",2015,1,236674,8.41
534,Tonari no Totoro,"['Adventure', 'Comedy', 'Supernatural']",1988,1,528128,8.42
535,Shinsekai yori,"['Sci-Fi', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama']",2012,25,514093,8.42
536,Shingeki no Kyojin Season 2,"['Action', 'Drama', 'Fantasy', 'Military', 'Mystery', 'Shounen', 'Super Power']",2017,12,979627,8.42
537,Promare,"['Action', 'Mecha', 'Sci-Fi', 'Super Power']",2019,1,58332,8.42
538,Mahou Shoujo MadokaâMagica,"['Psychological', 'Drama', 'Magic', 'Thriller']",2011,12,781975,8.42
539,Kizumonogatari I: Tekketsu-hen,"['Mystery', 'Supernatural', 'Vampire']",2016,1,274919,8.42
540,Kamisama Hajimemashita: Kako-hen,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']",2015,4,87480,8.42
541,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"['Comedy', 'Psychological', 'Romance', 'School', 'Seinen']",2019,12,410056,8.42
542,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"['Comedy', 'Romance', 'School', 'Supernatural']",2018,13,479848,8.43
543,Cross Game,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Sports']",2009,50,86377,8.43
544,Bakuman. 2nd Season,"['Comedy', 'Drama', 'Romance', 'Shounen']",2011,25,244849,8.43
545,Owarimonogatari,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",2015,12,267607,8.44
546,Mahou Shoujo MadokaâMagica Movie 3: Hangyaku no Monogatari,"['Mystery', 'Psychological', 'Drama', 'Magic', 'Thriller']",2013,1,236103,8.44
547,Koukaku Kidoutai: Stand Alone Complex,"['Action', 'Military', 'Sci-Fi', 'Police', 'Mecha', 'Seinen']",2002,26,291249,8.44
548,Chihayafuru 2,"['Drama', 'Game', 'Josei', 'School', 'Slice of Life', 'Sports']",2013,25,146627,8.44
549,Houseki no Kuni (TV),"['Action', 'Drama', 'Fantasy', 'Mystery', 'Seinen']",2017,12,222239,8.44
550,Beastars,"['Slice of Life', 'Psychological', 'Drama', 'Shounen']",2019,12,110722,8.44
551,Pingu in the City,"['Comedy', 'Kids', 'Slice of Life']",2017,26,33945,8.44
552,Barakamon,"['Comedy', 'Slice of Life']",2014,12,412234,8.44
553,Baccano!,"['Action', 'Comedy', 'Historical', 'Mystery', 'Supernatural']",2007,13,582483,8.44
554,3-gatsu no Lion,"['Drama', 'Game', 'Seinen', 'Slice of Life']",2016,22,307034,8.44
555,Major S5,"['Comedy', 'Drama', 'Romance', 'Shounen', 'Sports']",2009,25,47460,8.45
556,Kaze no Tani no NausicaÃ¤,"['Adventure', 'Fantasy']",1984,1,226668,8.45
557,Hunter x Hunter,"['Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen']",1999,62,301781,8.45
558,Shokugeki no Souma,"['Ecchi', 'School', 'Shounen']",2015,24,840130,8.46
559,Nana,"['Music', 'Slice of Life', 'Comedy', 'Drama', 'Romance', 'Shoujo']",2006,47,317879,8.46
560,Kuroko no Basket 3rd Season,"['Comedy', 'Sports', 'School', 'Shounen']",2015,25,382371,8.46
561,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"['Action', 'Mystery', 'Supernatural', 'Romance', 'Thriller']",2009,1,142404,8.46
562,Yuu Yuu Hakusho,"['Action', 'Comedy', 'Demons', 'Supernatural', 'Martial Arts', 'Shounen']",1992,112,358442,8.47
563,Usagi Drop,"['Josei', 'Slice of Life']",2011,11,329959,8.47
564,Kono Oto Tomare! 2nd Season,"['Music', 'Drama', 'Romance', 'School', 'Shounen']",2019,13,33754,8.47
565,Shingeki no Kyojin,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",2013,25,1754979,8.47
566,Kiseijuu: Sei no Kakuritsu,"['Action', 'Sci-Fi', 'Horror', 'Psychological', 'Drama', 'Seinen']",2014,24,897482,8.47
567,Hellsing Ultimate,"['Action', 'Military', 'Horror', 'Supernatural', 'Vampire', 'Seinen']",2006,10,542476,8.47
568,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,"['Drama', 'Fantasy']",2018,1,137205,8.48
569,Kenpuu Denki Berserk,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",1997,25,362021,8.48
570,Hotarubi no Mori e,"['Drama', 'Romance', 'Shoujo', 'Supernatural']",2011,1,415415,8.48
571,Shingeki no Kyojin Season 3,"['Action', 'Drama', 'Fantasy', 'Military', 'Mystery', 'Shounen', 'Super Power']",2018,12,608172,8.49
572,Uchuu Kyoudai,"['Comedy', 'Sci-Fi', 'Seinen', 'Slice of Life', 'Space']",2012,99,122984,8.49
573,Kaze ga Tsuyoku Fuiteiru,"['Comedy', 'Sports', 'Drama']",2018,23,118998,8.49
574,Dr. Stone,"['Adventure', 'Sci-Fi', 'Shounen']",2019,24,429097,8.49
575,Boku dake ga Inai Machi,"['Mystery', 'Psychological', 'Supernatural', 'Seinen']",2016,12,954354,8.49
576,Saiki Kusuo no Î¨-nan,"['Comedy', 'School', 'Shounen', 'Slice of Life', 'Supernatural']",2016,120,306640,8.5
577,Samurai Champloo,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Shounen']",2004,26,692588,8.5
578,Nichijou,"['Slice of Life', 'Comedy', 'School', 'Shounen']",2011,26,497276,8.5
579,Gintama Movie 1: Shinyaku Benizakura-hen,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",2010,1,91615,8.5
580,Aria The Origination,"['Fantasy', 'Sci-Fi', 'Shounen', 'Slice of Life']",2008,13,84686,8.5
581,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"['Slice of Life', 'Supernatural', 'Drama']",2011,11,849794,8.5
582,No Game No Life: Zero,"['Game', 'Supernatural', 'Drama', 'Romance', 'Fantasy']",2017,1,412183,8.51
583,Neon Genesis Evangelion: The End of Evangelion,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",1997,1,402617,8.51
584,Mob Psycho 100,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",2016,12,804491,8.51
585,Gintama.: Porori-hen,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",2017,13,87249,8.51
586,Steins;Gate Movie: Fuka Ryouiki no DÃ©jÃ  vu,"['Sci-Fi', 'Drama']",2013,1,361969,8.53
587,Slam Dunk,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",1993,101,150652,8.53
588,Mo Dao Zu Shi,"['Action', 'Adventure', 'Comedy', 'Historical', 'Mystery', 'Supernatural']",2018,15,76350,8.53
589,One Piece,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",1999,1000,1791425,8.62
590,Hotaru no Haka,"['Drama', 'Historical']",1988,1,320630,8.53
591,Steins;Gate 0,"['Sci-Fi', 'Thriller']",2018,23,420190,8.54
